nome,indirizzo,citta,nazione,lat,lng
Lavaggio QRO Narbonne,"Avenue des Étangs, 11100 Narbonne, Francia",Narbonne,Francia,43.1615628,2.9884226
Lavaggio Ramos Reus,"Carrer de Cornudella del Montsant, 16, Polígono Industrial Agro-Reus, 43206 Reus, Provincia di Tarragona, Spagna",Reus,Spagna,41.1560106,1.0846088
Lavaggio Rapido Ravenna,"Via Giuseppe Stefano Bondi, 34-42, 48123 Ravenna RA, Italia",Ravenna,Italia,44.4539337,12.2181102
Lavaggio RINNEN Maxdorf,"<span onmouseover=""this.innerHTML = &quot;Hanns-Hörbiger-Straße 8, 67133 Verbandsgemeinde Maxdorf, Germania&quot;;"" onmouseout=""this.innerHTML=&quot;Hanns-Hörbiger-Straße 8, 67133 Verbandsgemeinde Maxdorf, G...&quot;;"">Hanns-Hörbiger-Straße 8, 67133 Verba","G...&quot;;"">Hanns-Hörbiger-Straße 8",,49.4880118,8.2924803
lavaggio Rodella,"SP8, 218, 46046 Castel Goffredo MN, Italia",Castel Goffredo,Italia,45.3166036,10.5002312
LAVAGGIO ROSIGNANO,"Via Guido Rossa, 13B, 57016 Rosignano Solvay-Castiglioncello LI, Italia",Rosignano Solvay-Castiglioncello,Italia,43.3895775,10.4627445
Lavaggio S.A.S. Castelmassa,"Italia, 45035 Castelmassa RO, Via Gavioli, 51",Castelmassa RO,,45.0154266,11.3359368
Lavaggio Seifert Service GmbH,"Simon-Hoffmann-Straße 3, 06217 Merseburg (Saale), Germania",Merseburg (Saale),Germania,51.3757051,11.9716923
Lavaggio Setras,"SS3 ter, 05035 Narni Scalo TR, Italia",Narni Scalo,Italia,42.54672,12.5266633
LAVAGGIO SITRA,"51 Rue de la Lys, 59253 Sailly-sur-la-Lys, Francia",Sailly-sur-la-Lys,Francia,50.6508895,2.760638
Lavaggio SONECOVI VITROLLES,"8 Voie du Portugal, 13127 Vitrolles, Francia",Vitrolles,Francia,43.4176901,5.2690968
Lavaggio Sped. ROTH Wustenrot,"Dörflestraße 13-29, 71543 Wüstenrot, Germania",Wüstenrot,Germania,49.0880535,9.4893219
lavaggio Spedition Petri GmbH & Co. KG,"Am Alten Galgen 12, 56410 Montabaur, Germania",Montabaur,Germania,50.4505403,7.839674
Lavaggio SPETRA TRUCK WASH Tranovice 278 CZ-73953,"Třanovice 296, 739 53 Třanovice, Repubblica Ceca",53 Třanovice,Repubblica Ceca,49.7133873,18.5281233
